EstSize_7,ActSize_7,ActEffort_7,EstDef_7,ActDef_7,EstSize_8,ActSize_8,ActEffort_8,EstDef_8,ActDef_8,EstSize_9,ActSize_9,ActEffort_9,EstDef_9,ActDef_9,EstSize_10,ActSize_10,ActEffort_10,EstDef_10,ActDef_10
89,154,163,4,2,63,87,92,1,2,154,214,328,2,5,215,245,211,4,3
81,50,246,7,4,22,46,123,2,0,62,63,228,3,6,146,215,414,9,6
106,68,206,19,17,29,97,149,7,8,46,28,285,7,20,136,263,227,32,35
79,85,146,32,8,62,32,119,6,6,86,118,165,11,7,107,267,220,10,12
13,65,182,14,3,23,47,122,1,4,57,75,193,5,4,118,134,257,8,8
119,93,253,6,6,78,123,231,5,6,140,166,246,8,8,255,263,377,13,8
64,137,377,14,6,63,66,185,3,6,75,90,206,4,4,273,193,431,15,12
75,30,251,6,1,53,75,327,2,3,63,61,286,2,3,61,66,302,3,0
100,89,345,9,10,125,166,368,14,9,94,134,487,7,15,214,329,598,19,14
91,108,227,7,6,92,88,238,5,6,171,149,215,10,7,256,272,311,14,11
60,80,189,6,4,101,151,333,5,9,123,135,250,7,8,169,154,280,10,11
90,133,202,8,8,70,103,310,4,15,147,196,195,14,10,176,288,232,14,12
53,118,150,3,6,119,79,187,6,8,138,115,248,10,2,90,229,312,5,9
52,121,183,5,4,47,145,181,2,8,82,54,236,4,9,117,172,426,8,13
176,208,233,13,8,134,149,165,5,14,231,232,283,14,16,340,286,378,22,18
59,86,171,4,5,23,42,134,1,5,55,127,241,4,12,115,373,208,10,8
51,61,135,5,2,29,33,167,1,3,50,87,286,3,5,79,118,575,5,8
126,125,187,3,1,55,64,188,1,1,241,260,392,5,5,376,292,267,8,4
75,62,46,4,2,104,125,56,3,2,110,144,70,2,3,193,178,77,4,2
44,81,283,4,1,80,102,184,1,1,98,94,449,1,7,142,165,263,5,1
8,22,134,1,3,17,42,202,2,1,70,132,297,4,9,49,94,208,3,6
58,64,77,2,4,44,91,99,3,3,87,141,116,4,4,145,217,156,6,4
81,115,236,7,4,84,68,194,3,5,125,200,327,4,9,116,306,263,5,9
62,62,94,8,6,66,86,99,6,7,152,121,204,13,8,258,265,285,20,10
213,128,352,7,4,73,158,190,2,3,200,112,244,2,3,495,764,641,12,8
112,154,160,2,2,97,61,80,3,3,87,140,175,4,4,104,151,227,4,4
145,37,122,12,2,49,74,58,3,1,244,328,258,7,3,220,251,297,3,4
237,191,242,11,2,40,56,41,0,1,185,159,186,2,1,275,230,188,2,2
196,271,189,15,10,194,92,85,7,11,252,210,128,15,10,270,294,194,14,19
47,96,196,8,3,74,115,93,2,6,72,200,184,3,12,150,202,252,8,9
39,68,342,7,18,63,82,214,17,10,241,95,557,45,28,217,343,764,50,24
103,75,181,6,4,41,37,87,5,1,147,142,252,6,19,158,194,196,15,5
103,145,228,11,7,151,148,216,7,7,129,137,299,6,11,217,296,338,12,8
41,127,168,4,7,81,53,100,4,1,316,273,164,14,7,308,304,337,10,16
33,113,291,3,8,79,55,85,6,1,108,154,369,6,12,377,179,381,24,12
43,35,146,3,6,26,41,131,4,6,95,119,205,15,12,141,170,211,17,7
95,121,167,4,6,93,110,137,5,2,284,217,185,10,2,475,287,284,11,13
48,81,110,6,3,135,136,136,5,1,324,406,184,6,4,191,303,169,2,1
125,132,178,5,4,43,80,169,1,5,219,235,226,9,6,235,331,356,8,9
67,76,177,7,13,64,81,190,11,11,131,118,282,20,8,95,260,261,11,9
70,88,312,5,13,89,145,207,13,6,176,181,493,14,17,248,220,396,22,15
76,50,154,6,6,55,62,158,7,8,88,97,180,11,10,142,184,406,16,10
61,74,246,7,9,35,79,203,4,7,176,169,421,17,9,204,262,518,15,14
81,70,297,7,4,84,91,249,4,10,205,208,493,17,18,252,284,422,21,12
74,116,157,6,2,95,173,129,2,3,94,212,454,2,5,158,315,444,3,2
284,197,516,5,7,301,335,344,11,18,190,248,524,9,10,231,349,688,10,6
98,124,911,8,20,64,95,1204,10,31,109,157,1167,25,13,260,241,1535,44,27
371,155,435,8,0,142,125,500,0,2,240,256,546,2,3,760,758,937,3,4
178,288,653,8,6,106,82,281,2,1,209,210,518,4,7,457,254,670,11,5
103,69,617,9,14,82,121,652,16,8,177,236,903,20,12,225,326,965,18,8
107,96,579,0,4,88,133,407,4,5,222,255,1269,9,5,301,336,1141,9,5
154,97,215,6,2,64,109,245,1,2,164,209,847,3,2,140,268,913,0,0
101,63,297,1,1,83,69,424,1,1,157,181,254,2,2,208,177,458,3,3
139,118,991,2,2,115,143,439,2,3,192,144,693,4,1,263,391,918,4,6
127,82,395,2,1,79,82,254,1,0,179,137,482,1,3,163,185,596,2,3
71,77,512,4,4,75,84,394,4,6,133,126,720,8,11,290,393,978,21,12
69,162,173,4,9,48,128,132,3,8,174,190,205,10,10,316,218,318,18,11
20,28,153,4,4,28,31,122,4,3,48,79,155,6,3,140,151,224,10,8
50,53,108,5,6,46,38,91,5,4,118,138,221,13,7,54,147,211,4,8
45,63,231,4,7,65,90,211,7,9,216,229,396,22,18,211,238,419,19,11
84,130,140,3,5,90,118,150,4,7,140,226,192,7,4,198,248,246,7,7
52,82,294,3,6,41,66,208,3,3,192,219,474,12,7,233,216,277,10,2
53,101,228,6,6,36,79,406,2,7,106,161,507,8,18,178,195,333,16,9
48,50,118,2,3,29,82,220,2,4,149,228,333,8,8,239,183,244,10,3
199,95,117,10,3,56,114,172,2,9,103,261,161,6,7,226,322,239,8,6
60,83,245,1,16,36,142,133,7,8,96,149,307,15,11,153,202,269,18,5
45,80,121,3,4,68,90,146,4,4,99,72,222,5,9,144,93,167,10,7
66,98,93,5,8,91,60,66,7,4,104,102,129,8,12,160,156,152,15,15
197,120,166,3,3,109,129,157,3,1,263,388,238,5,1,79,143,172,1,0
52,36,162,15,7,33,78,135,6,4,122,151,260,8,21,123,228,290,12,18
55,57,89,4,5,44,61,127,0,0,72,117,182,4,10,135,197,175,9,5
50,73,81,2,5,46,56,102,3,2,61,61,113,3,2,107,169,145,5,4
105,158,245,0,2,25,45,100,1,1,32,57,145,1,4,55,144,302,2,4
39,104,158,8,7,33,70,116,2,2,97,122,220,5,12,68,85,335,8,7
63,87,137,5,6,61,64,163,4,6,188,117,240,15,12,147,161,193,13,6
98,64,265,10,6,45,54,204,4,3,83,94,199,6,4,99,124,183,6,4
43,35,243,28,5,27,128,344,5,12,40,228,624,5,17,44,119,316,4,8
95,81,130,3,1,93,81,156,1,1,167,214,210,2,3,212,172,226,3,2
27,51,88,2,1,30,56,118,1,3,181,124,223,7,14,44,119,316,4,8
159,138,284,8,7,76,110,177,4,7,136,150,231,8,7,209,276,346,11,10
102,82,194,6,1,92,82,175,1,5,117,115,297,4,10,125,162,269,7,4
62,102,171,3,5,68,85,150,3,3,208,160,294,9,5,112,191,210,4,3
100,131,234,5,6,104,105,209,5,6,140,139,294,7,9,241,259,332,14,8
81,54,252,3,3,48,75,165,3,2,125,126,150,5,6,102,98,151,4,8
83,143,207,6,8,50,75,242,3,6,127,145,395,8,12,155,170,305,11,6
86,83,175,4,1,51,47,137,1,1,91,102,254,1,4,69,76,194,2,2
53,69,163,4,4,60,74,129,0,0,92,97,214,5,5,131,178,304,7,9
93,101,141,4,4,91,102,232,4,2,272,239,311,8,3,197,218,239,4,3
45,82,210,2,7,54,82,189,5,10,118,145,334,12,7,272,280,370,21,17
112,209,229,7,10,49,51,205,2,2,75,84,279,4,7,196,284,322,11,8
71,70,220,5,7,58,114,283,6,12,162,165,362,17,13,207,205,486,19,7
78,71,174,4,2,112,129,283,3,4,127,130,342,4,4,200,241,380,6,3
86,85,194,5,7,86,53,143,7,5,87,250,375,8,6,188,309,441,9,4
39,49,193,2,2,68,71,195,3,5,87,104,346,4,6,249,214,256,12,7
62,99,117,4,3,52,85,97,2,1,117,145,190,2,6,246,274,269,8,4
78,132,177,5,5,98,153,159,4,2,185,262,255,4,2,277,308,330,5,3
40,105,133,3,5,105,152,188,5,6,113,186,306,5,14,147,151,259,8,10
148,313,378,10,9,155,116,334,4,8,220,236,330,9,9,232,228,242,9,6
81,47,391,7,9,35,90,240,7,5,47,58,285,5,4,102,118,434,9,5
84,45,72,11,5,75,72,43,8,2,134,144,173,8,2,163,309,167,2,2
45,33,179,12,5,47,30,105,7,3,54,19,116,7,7,41,48,148,8,10
78,59,129,7,3,53,88,75,3,5,88,130,266,5,12,144,208,319,10,11
74,23,119,7,3,41,84,76,6,5,81,131,270,7,12,162,226,354,14,11
53,82,450,4,15,107,120,230,20,11,122,173,524,16,15,176,230,441,19,7
129,103,377,17,10,19,92,198,2,11,193,278,389,21,15,402,390,564,30,15
66,70,202,5,8,69,70,150,8,8,100,88,203,15,17,131,67,267,21,20
105,82,269,10,15,77,103,179,14,6,173,289,804,20,21,217,206,606,19,15
33,25,201,12,4,67,64,186,11,4,100,111,200,9,5,100,111,200,6,5
52,44,203,5,5,45,32,53,5,3,80,118,150,8,2,79,75,260,4,1
259,155,351,17,4,92,63,147,2,1,208,150,211,5,2,141,190,326,3,7
198,244,407,13,12,115,124,270,6,5,272,213,476,13,18,211,344,489,13,6
104,111,239,10,10,50,85,137,4,5,174,188,290,13,9,350,312,378,22,10
70,151,305,2,4,79,142,151,2,7,464,461,277,17,8,383,339,244,10,10
96,86,305,6,12,47,53,202,6,4,132,154,506,15,15,244,313,495,26,27
49,44,102,4,3,126,115,157,9,3,78,86,128,3,3,130,129,174,5,6
104,76,204,22,11,75,78,155,11,5,371,240,477,39,20,249,288,476,23,19
125,93,172,14,7,65,44,107,5,2,207,187,338,14,13,299,250,277,20,10
77,51,122,7,4,42,108,145,3,8,210,136,296,16,9,222,191,272,16,13
28,20,82,3,2,80,98,194,8,3,112,95,156,5,6,197,190,231,10,9
218,141,283,8,10,207,177,371,15,11,300,313,489,20,25,520,589,625,38,34
107,159,325,7,5,112,86,377,4,8,199,146,448,10,21,281,254,469,24,17
97,91,241,10,3,89,120,515,3,7,207,243,399,10,10,268,238,430,12,10
86,114,320,10,14,156,121,364,19,7,183,144,376,16,11,263,236,701,22,34
78,140,202,10,8,88,120,219,5,3,214,267,430,9,9,503,292,382,19,4
55,35,146,7,9,51,83,169,13,8,76,83,180,11,16,117,284,382,19,27
53,63,362,5,12,46,46,218,9,6,98,135,413,16,14,130,241,660,17,13
68,65,245,12,5,50,39,223,4,5,127,136,444,12,37,176,172,516,34,44
297,233,360,11,4,246,213,257,4,3,276,270,507,4,12,437,579,563,12,14
113,156,394,5,4,73,32,187,2,1,209,168,305,6,4,270,228,506,7,3
48,100,312,4,8,47,75,179,4,3,203,193,243,13,10,131,133,161,7,11
42,76,563,5,6,79,107,497,6,5,120,94,699,7,19,140,214,610,15,5
109,165,315,6,6,141,125,312,5,7,281,185,726,13,12,261,348,610,14,7
48,140,105,2,4,142,147,183,4,3,168,153,173,4,5,158,160,174,4,3
88,72,125,3,2,98,118,172,3,6,170,131,284,6,3,240,264,471,7,7
134,112,182,7,5,100,122,153,5,3,114,112,225,5,5,205,243,81,9,0
77,46,82,3,5,417,155,148,16,8,227,126,179,8,13,150,178,143,6,3
102,132,146,4,2,50,74,80,1,1,77,100,191,3,3,350,306,205,10,3
73,71,111,6,3,41,92,142,2,3,183,192,272,7,14,156,315,312,9,10
46,86,117,4,3,24,51,93,1,2,81,88,165,4,4,58,120,162,3,4
28,42,48,1,1,46,84,58,1,1,116,166,136,2,5,213,127,196,5,5
57,161,206,30,8,71,113,166,4,6,186,260,291,10,6,167,238,295,6,6
62,72,213,6,9,27,47,87,4,1,53,118,301,4,9,90,165,297,7,8
29,57,177,2,4,30,52,181,2,4,132,189,283,10,9,161,170,384,9,5
64,63,89,4,6,47,60,115,5,3,101,92,213,7,5,99,139,267,6,7
51,80,127,3,5,36,57,91,2,2,99,225,269,5,7,201,265,265,8,8
31,63,117,2,4,27,37,79,2,5,56,93,148,5,7,137,166,167,11,8
49,116,159,4,6,60,75,176,3,9,104,139,269,8,7,118,211,220,8,9
83,62,144,4,1,50,127,164,1,4,138,198,207,4,3,127,217,209,3,1
27,89,91,1,1,15,27,78,0,0,83,178,128,1,1,128,232,230,1,2
63,44,164,4,7,24,68,144,4,2,82,198,240,7,7,84,128,219,4,8
63,44,164,4,7,24,68,144,4,2,82,198,240,7,7,84,128,219,4,8
