EstSize_7,ActSize_7,ActEffort_7,EstDef_7,ActDef_7,EstSize_8,ActSize_8,ActEffort_8,EstDef_8,ActDef_8,EstSize_9,ActSize_9,ActEffort_9,EstDef_9,ActDef_9,EstSize_10,ActSize_10,ActEffort_10,EstDef_10,ActDef_10
69,65,218,7,4,39,42,306,2,6,117,135,412,8,13,149,156,569,12,9
56,103,317,5,8,80,96,342,6,7,119,128,417,9,7,193,240,838,13,47
52,77,259,4,6,54,55,189,4,3,59,123,346,4,19,127,167,582,14,11
45,32,202,2,1,64,86,340,2,8,89,83,341,7,4,126,138,568,8,12
77,59,279,4,1,56,64,225,1,2,144,87,416,4,1,164,189,863,4,6
77,89,221,6,8,108,162,383,10,10,130,170,399,9,10,243,230,493,16,13
34,62,63,2,3,86,104,140,4,3,88,143,181,3,4,142,121,197,5,4
167,92,181,10,9,50,101,236,5,2,153,312,503,9,7,149,173,547,5,4
58,64,189,2,4,81,154,256,5,4,123,156,233,4,4,122,204,281,4,6
92,105,180,4,0,61,121,339,0,1,116,121,230,0,7,115,165,288,3,4
56,73,76,2,1,58,69,47,1,1,96,107,82,2,3,150,182,86,4,5
44,47,149,4,2,49,54,203,2,2,118,95,291,4,3,151,153,328,6,9
58,55,69,2,2,58,63,62,2,1,83,119,100,2,4,129,135,91,4,1
19,46,203,3,4,45,85,172,4,3,61,111,233,3,5,145,221,383,7,8
69,49,71,4,4,59,114,168,5,16,100,93,81,12,4,156,117,92,15,7
81,80,70,7,1,44,63,70,2,3,93,102,170,4,15,146,253,266,13,15
92,88,133,5,0,92,117,136,0,1,220,130,206,1,3,138,196,202,2,2
101,52,356,12,9,139,129,392,24,22,179,227,431,31,30,308,368,1024,46,16
49,35,158,6,3,20,27,190,2,1,50,45,335,3,3,64,122,372,4,4
37,13,295,4,6,36,61,585,17,5,73,73,515,11,10,121,89,463,18,10
36,83,288,6,6,93,46,198,6,5,108,49,432,9,10,113,177,834,13,13
32,35,232,4,5,42,47,186,7,1,67,68,324,5,19,123,126,431,21,11
45,64,293,4,6,78,58,223,7,1,87,88,369,5,6,149,151,649,9,3
109,72,182,13,12,38,70,154,6,5,64,124,156,8,9,159,283,317,16,10
60,59,176,7,2,80,75,159,3,4,88,92,181,4,3,96,114,289,3,7
73,65,120,6,10,51,45,75,8,2,75,103,134,9,5,117,200,207,10,4
157,143,399,19,3,128,105,360,3,4,125,167,755,4,8,284,267,879,10,5
86,110,374,7,6,69,124,529,5,16,162,204,582,15,17,312,337,1044,28,11
73,135,193,7,0,74,136,168,0,1,128,153,369,1,8,199,328,527,4,10
100,115,516,8,9,67,93,381,5,6,185,140,396,14,4,233,283,831,13,9
35,39,223,3,2,71,75,280,4,4,96,82,363,6,4,160,138,509,8,8
45,56,278,3,1,72,72,294,1,1,116,146,433,2,8,121,159,466,5,4
57,49,417,13,14,30,31,246,8,5,70,98,438,17,20,120,80,551,26,9
53,44,215,9,9,24,54,196,5,9,94,199,365,18,9,195,226,482,17,23
80,75,145,3,1,47,45,78,1,0,59,78,175,1,3,124,203,295,3,4
35,50,224,7,2,38,31,265,2,5,50,75,320,5,6,170,159,791,14,12
199,119,232,14,5,178,170,369,12,6,291,188,489,18,14,237,346,453,15,15
48,40,172,5,2,54,119,261,2,5,70,90,195,3,7,116,142,317,6,7
55,55,245,13,12,59,47,183,13,5,63,81,335,11,16,184,215,772,33,51
36,58,240,6,6,102,114,216,11,2,154,128,310,8,9,261,231,475,15,7
60,56,762,2,7,93,62,277,12,10,218,168,430,32,10,194,148,470,18,11
77,43,351,9,5,34,63,541,4,4,96,78,254,8,6,126,241,546,11,6
81,42,548,11,4,66,64,421,8,5,69,74,417,7,11,251,294,1156,29,16
57,61,226,5,3,50,70,180,3,3,45,53,175,2,2,77,129,307,3,10
128,70,287,12,6,48,58,152,4,2,102,108,317,6,7,185,221,523,13,8
181,98,295,23,5,54,89,221,3,9,109,93,345,8,8,190,223,586,15,12
177,119,360,18,12,176,243,1026,19,19,249,238,964,21,20,369,398,970,32,20
71,89,116,8,2,54,72,83,1,1,117,133,173,3,2,155,193,247,5,9
126,93,295,5,1,110,99,313,1,1,211,163,575,2,13,222,203,577,9,2
105,69,351,11,3,105,97,263,5,2,139,168,435,5,4,344,228,795,9,5
91,81,358,9,15,86,58,356,15,5,221,184,693,33,16,445,416,1447,49,88
133,101,172,11,2,59,87,295,4,7,187,263,459,14,19,182,131,552,13,17
131,118,448,18,14,95,101,432,13,15,105,253,767,14,44,281,349,659,41,46
76,65,198,18,24,66,42,345,16,22,69,121,306,18,24,91,163,548,23,40
61,70,131,7,4,38,94,263,4,14,141,93,225,16,18,254,208,475,31,10
27,38,196,2,3,56,89,293,4,3,101,97,431,7,7,98,148,279,7,2
95,63,117,7,5,49,71,196,3,13,85,167,346,7,9,107,278,371,8,12
217,149,290,9,8,210,244,404,9,14,213,240,445,10,16,197,214,431,9,9
245,253,505,27,39,194,243,659,23,18,243,257,624,27,25,243,330,610,27,24
193,150,343,16,5,134,177,612,10,6,246,317,1264,17,17,211,232,623,14,9
64,52,144,5,5,61,84,336,5,10,86,178,502,8,12,192,184,442,16,9
162,151,335,22,8,113,105,318,14,16,430,295,837,54,28,205,309,621,24,4
65,48,106,2,3,112,110,214,4,4,143,151,246,5,4,186,221,351,7,5
100,47,189,15,8,79,101,342,12,8,160,210,489,23,13,191,309,386,24,15
60,51,171,3,2,110,101,307,5,7,161,127,396,8,6,207,232,531,11,8
42,46,111,2,3,115,104,247,5,3,201,221,511,8,4,194,182,486,6,4
49,59,163,3,2,52,44,144,2,7,138,99,251,9,6,191,198,404,13,9
37,68,221,6,2,39,94,98,2,3,135,142,240,4,5,252,260,493,9,4
35,54,119,4,2,74,79,174,2,3,111,118,223,4,4,310,262,288,11,6
49,46,147,4,1,97,85,106,1,3,91,80,218,4,5,223,188,426,12,11
49,59,151,4,0,44,81,170,0,2,131,229,260,2,3,177,211,440,3,4
116,72,153,6,4,32,65,149,2,2,103,102,324,5,5,74,85,228,4,4
36,51,222,12,3,46,35,203,3,1,81,81,292,4,4,70,87,304,4,5
72,79,237,3,6,60,62,246,5,3,93,120,337,6,3,149,193,510,6,5
74,61,210,2,1,36,49,245,1,0,69,91,422,1,0,69,91,422,1,0
37,19,295,3,5,35,34,77,9,0,48,49,330,5,2,71,97,359,5,1
104,67,481,6,10,54,36,241,9,6,137,106,393,22,7,297,204,613,33,11
57,43,375,7,17,58,58,313,23,15,136,164,404,43,24,146,136,608,29,24
126,63,365,11,5,40,82,162,4,4,225,242,386,14,7,225,328,511,9,11
80,57,213,9,8,52,54,230,8,5,11,93,259,13,7,141,182,485,14,5
76,94,453,2,0,105,107,408,3,0,157,121,537,0,0,116,200,850,0,0
71,61,151,4,5,36,52,118,3,1,137,121,174,6,0,167,247,297,4,0
33,42,389,6,15,47,31,214,17,5,74,100,435,20,14,53,124,535,10,9
99,111,435,6,4,27,53,215,1,1,63,88,337,2,4,192,228,567,7,1
144,99,379,12,11,93,86,352,10,3,159,128,578,9,12,242,289,968,17,18
93,58,248,8,3,35,57,168,2,0,98,94,237,3,3,190,202,375,6,6
70,51,294,11,5,53,43,304,5,5,72,65,374,7,11,143,147,851,19,16
67,78,265,4,5,77,79,240,5,5,145,91,336,9,8,200,209,337,14,3
81,67,356,1,3,79,88,468,4,4,46,63,266,4,4,229,250,1256,8,9
88,72,339,14,11,44,51,210,4,6,93,72,292,13,7,91,122,348,11,8
134,84,365,5,3,55,106,401,2,3,113,108,456,3,5,297,331,777,11,9
60,126,856,8,2,47,90,296,1,2,79,86,242,2,4,238,197,381,6,4
42,45,557,4,12,43,66,310,12,16,123,121,327,31,17,141,154,482,27,18
46,43,270,9,7,78,106,468,12,22,96,105,434,19,16,175,175,1017,31,36
51,28,675,5,11,40,80,459,16,9,208,142,1056,39,17,267,502,613,40,20
84,117,419,5,5,79,88,329,3,3,150,124,312,6,4,224,293,536,9,13
99,90,425,8,4,64,97,289,3,7,85,101,351,5,6,139,207,469,8,7
71,66,352,13,6,54,73,835,5,8,98,132,574,10,24,96,113,675,13,12
30,66,651,7,9,122,140,336,5,10,83,105,615,11,16,153,209,704,22,18
105,71,418,20,8,180,107,338,20,18,69,106,553,18,29,173,186,759,29,25
65,62,321,6,2,59,90,817,2,4,131,119,533,5,5,209,234,605,9,6
177,223,411,4,4,85,80,312,3,2,119,126,568,3,7,151,169,992,4,2
69,68,278,6,3,64,67,252,3,4,137,123,310,7,5,132,196,442,6,8
77,67,252,7,2,55,73,312,2,8,79,74,410,5,14,154,157,609,17,7
145,154,402,4,4,106,146,296,3,4,280,223,493,8,10,296,404,704,10,17
68,77,246,2,3,103,106,232,4,2,106,103,229,3,3,105,131,294,3,4
37,42,323,3,3,39,80,515,3,4,146,106,322,8,6,153,185,471,8,11
78,70,295,4,0,30,53,329,1,4,94,90,411,3,4,181,214,505,7,1
64,93,414,6,9,67,109,295,6,4,146,100,362,9,6,151,211,545,9,9
54,59,180,4,7,65,83,213,7,6,70,98,215,6,5,187,197,338,14,7
75,84,469,8,7,86,84,355,7,2,146,127,536,8,8,240,236,912,14,20
128,101,409,12,6,75,61,467,5,7,87,99,321,7,12,217,197,724,22,14
151,59,240,10,4,47,88,243,3,7,265,149,414,19,6,215,224,772,12,18
134,129,360,14,8,90,85,303,6,19,86,124,348,10,15,184,279,604,23,21
145,116,539,18,15,107,120,576,14,36,94,150,584,20,35,280,272,1156,62,45
117,107,433,14,10,138,126,392,12,7,181,146,685,13,17,175,275,889,15,16
88,120,299,10,14,66,89,177,6,10,132,79,443,17,17,143,188,721,21,20
58,70,140,3,1,70,85,162,1,2,81,76,199,1,6,142,123,303,6,4
45,45,239,3,5,52,55,243,6,2,80,114,350,6,4,136,143,522,7,6
63,34,290,7,3,51,60,237,5,2,68,65,393,4,12,102,199,686,11,15
107,60,143,7,3,135,144,209,7,7,158,148,342,8,8,205,197,340,10,4
104,63,141,2,4,98,49,129,4,4,65,91,328,5,10,188,381,591,0,21
180,144,134,3,8,217,201,190,12,14,206,217,262,13,16,263,793,407,18,16
53,77,170,6,6,72,83,149,6,6,207,194,271,10,11,244,214,333,16,9
129,128,337,7,12,90,88,337,8,9,119,157,506,12,16,239,314,426,24,10
88,61,158,6,3,33,36,140,2,1,110,142,298,4,8,227,275,341,11,11
138,146,478,7,13,134,89,424,12,1,135,171,455,8,5,161,299,455,8,4
82,109,429,13,17,78,48,201,14,6,84,137,289,13,6,126,222,251,13,11
43,79,255,8,8,56,48,240,6,6,31,56,375,3,7,21,147,505,2,9
95,90,151,8,5,88,125,76,4,7,85,134,125,4,4,149,281,204,7,7
82,88,226,4,4,93,99,177,4,2,157,182,296,5,6,163,158,221,5,2
76,52,180,4,2,71,53,124,3,4,78,135,162,4,5,87,171,215,4,1
102,79,240,11,7,89,98,173,8,10,95,117,313,9,16,120,193,320,13,5
77,135,237,14,5,82,70,133,4,4,94,170,239,4,6,125,177,282,5,9
162,87,122,5,3,138,80,97,5,3,126,92,187,6,3,173,291,328,6,2
183,124,354,19,6,205,110,327,10,7,155,216,457,10,10,128,131,595,6,8
77,139,350,7,7,70,174,359,4,5,103,141,534,5,10,140,191,297,8,1
47,103,278,5,2,60,44,194,1,3,78,105,312,3,10,177,153,391,10,4
33,45,264,3,5,37,29,161,4,3,40,92,247,4,5,54,190,244,4,8
